filename,model,role,test_run,answer,error
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_0.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,0,"26,532.98",0
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_1.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,1,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_2.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,2,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_3.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,3,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_4.txt,gemma3n_e4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,4,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-microwave-oven_0.txt,gemma3n_e4b,a-microwave-oven,0,"26,533.00",0.0200000000004366
gemma3n_e4b_compound_interest_a-microwave-oven_1.txt,gemma3n_e4b,a-microwave-oven,1,"26,533.09",0.110000000000582
gemma3n_e4b_compound_interest_a-microwave-oven_2.txt,gemma3n_e4b,a-microwave-oven,2,"26,533.00",0.0200000000004366
gemma3n_e4b_compound_interest_a-microwave-oven_3.txt,gemma3n_e4b,a-microwave-oven,3,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-microwave-oven_4.txt,gemma3n_e4b,a-microwave-oven,4,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_0.txt,gemma3n_e4b,a-person-with-below-average-intelligence,0,"15,000.00",-11532.98
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_1.txt,gemma3n_e4b,a-person-with-below-average-intelligence,1,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_2.txt,gemma3n_e4b,a-person-with-below-average-intelligence,2,0.00,0
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_3.txt,gemma3n_e4b,a-person-with-below-average-intelligence,3,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_a-person-with-below-average-intelligence_4.txt,gemma3n_e4b,a-person-with-below-average-intelligence,4,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_an-LLM-assistant_0.txt,gemma3n_e4b,an-LLM-assistant,0,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-LLM-assistant_1.txt,gemma3n_e4b,an-LLM-assistant,1,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-LLM-assistant_2.txt,gemma3n_e4b,an-LLM-assistant,2,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-LLM-assistant_3.txt,gemma3n_e4b,an-LLM-assistant,3,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-LLM-assistant_4.txt,gemma3n_e4b,an-LLM-assistant,4,"26,532.97",-0.00999999999839929
gemma3n_e4b_compound_interest_an-MIT-Math-professor_0.txt,gemma3n_e4b,an-MIT-Math-professor,0,"26,533.00",0.0200000000004366
gemma3n_e4b_compound_interest_an-MIT-Math-professor_1.txt,gemma3n_e4b,an-MIT-Math-professor,1,"26,530.00",-2.97999999999956
gemma3n_e4b_compound_interest_an-MIT-Math-professor_2.txt,gemma3n_e4b,an-MIT-Math-professor,2,"26,533.00",0.0200000000004366
gemma3n_e4b_compound_interest_an-MIT-Math-professor_3.txt,gemma3n_e4b,an-MIT-Math-professor,3,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-MIT-Math-professor_4.txt,gemma3n_e4b,an-MIT-Math-professor,4,"26,532.97",-0.00999999999839929
gemma3n_e4b_compound_interest_an-undergraduate-Mathematics-student_0.txt,gemma3n_e4b,an-undergraduate-Mathematics-student,0,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-undergraduate-Mathematics-student_1.txt,gemma3n_e4b,an-undergraduate-Mathematics-student,1,"26,530.00",-2.97999999999956
gemma3n_e4b_compound_interest_an-undergraduate-Mathematics-student_2.txt,gemma3n_e4b,an-undergraduate-Mathematics-student,2,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_an-undergraduate-Mathematics-student_3.txt,gemma3n_e4b,an-undergraduate-Mathematics-student,3,"26,530.00",-2.97999999999956
gemma3n_e4b_compound_interest_an-undergraduate-Mathematics-student_4.txt,gemma3n_e4b,an-undergraduate-Mathematics-student,4,"26,530.00",-2.97999999999956
gemma3n_e4b_compound_interest_an-uneducated-person_0.txt,gemma3n_e4b,an-uneducated-person,0,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_an-uneducated-person_1.txt,gemma3n_e4b,an-uneducated-person,1,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_an-uneducated-person_2.txt,gemma3n_e4b,an-uneducated-person,2,"16,000.00",-10532.98
gemma3n_e4b_compound_interest_an-uneducated-person_3.txt,gemma3n_e4b,an-uneducated-person,3,"11,592.74",-14940.24
gemma3n_e4b_compound_interest_an-uneducated-person_4.txt,gemma3n_e4b,an-uneducated-person,4,"16,000.00",-10532.98
gemma3n_e4b_compound_interest_the-smartest-person-in-the-world_0.txt,gemma3n_e4b,the-smartest-person-in-the-world,0,"26,532.98",0
gemma3n_e4b_compound_interest_the-smartest-person-in-the-world_1.txt,gemma3n_e4b,the-smartest-person-in-the-world,1,"26,532.98",0
gemma3n_e4b_compound_interest_the-smartest-person-in-the-world_2.txt,gemma3n_e4b,the-smartest-person-in-the-world,2,"26,532.95",-0.0299999999988358
gemma3n_e4b_compound_interest_the-smartest-person-in-the-world_3.txt,gemma3n_e4b,the-smartest-person-in-the-world,3,"26,532.98",0
gemma3n_e4b_compound_interest_the-smartest-person-in-the-world_4.txt,gemma3n_e4b,the-smartest-person-in-the-world,4,"26,532.98",0
llama3_1_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_0.txt,llama3_1_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,0,"16,386.16",-10146.82
llama3_1_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_1.txt,llama3_1_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,1,"33,862.00",7329.02
llama3_1_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_2.txt,llama3_1_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,2,"51,937.00",25404.02
llama3_1_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_3.txt,llama3_1_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,3,"26,392.17",-140.810000000001
llama3_1_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_4.txt,llama3_1_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,4,"41,509.44",14976.46
llama3_1_8b_compound_interest_a-microwave-oven_0.txt,llama3_1_8b,a-microwave-oven,0,"25,937.42",-595.560000000001
llama3_1_8b_compound_interest_a-microwave-oven_1.txt,llama3_1_8b,a-microwave-oven,1,"23,100.00",-3432.98
llama3_1_8b_compound_interest_a-microwave-oven_2.txt,llama3_1_8b,a-microwave-oven,2,"32,386.12",5853.14
llama3_1_8b_compound_interest_a-microwave-oven_3.txt,llama3_1_8b,a-microwave-oven,3,"31,855.49",5322.51
llama3_1_8b_compound_interest_a-microwave-oven_4.txt,llama3_1_8b,a-microwave-oven,4,"26,533.00",0.0200000000004366
llama3_1_8b_compound_interest_a-person-with-below-average-intelligence_0.txt,llama3_1_8b,a-person-with-below-average-intelligence,0,"25,000.00",-1532.98
llama3_1_8b_compound_interest_a-person-with-below-average-intelligence_1.txt,llama3_1_8b,a-person-with-below-average-intelligence,1,"34,600.00",8067.02
llama3_1_8b_compound_interest_a-person-with-below-average-intelligence_2.txt,llama3_1_8b,a-person-with-below-average-intelligence,2,"31,000.00",4467.02
llama3_1_8b_compound_interest_a-person-with-below-average-intelligence_3.txt,llama3_1_8b,a-person-with-below-average-intelligence,3,"200,000.00",173467.02
llama3_1_8b_compound_interest_a-person-with-below-average-intelligence_4.txt,llama3_1_8b,a-person-with-below-average-intelligence,4,"11,592.74",-14940.24
llama3_1_8b_compound_interest_an-LLM-assistant_0.txt,llama3_1_8b,an-LLM-assistant,0,"25,937.63",-595.349999999999
llama3_1_8b_compound_interest_an-LLM-assistant_1.txt,llama3_1_8b,an-LLM-assistant,1,"33,106.13",6573.15
llama3_1_8b_compound_interest_an-LLM-assistant_2.txt,llama3_1_8b,an-LLM-assistant,2,"34,589.93",8056.95
llama3_1_8b_compound_interest_an-LLM-assistant_3.txt,llama3_1_8b,an-LLM-assistant,3,"38,619.19",12086.21
llama3_1_8b_compound_interest_an-LLM-assistant_4.txt,llama3_1_8b,an-LLM-assistant,4,"53,329.19",26796.21
llama3_1_8b_compound_interest_an-MIT-Math-professor_0.txt,llama3_1_8b,an-MIT-Math-professor,0,"26,533.00",0.0200000000004366
llama3_1_8b_compound_interest_an-MIT-Math-professor_1.txt,llama3_1_8b,an-MIT-Math-professor,1,"26,533.30",0.319999999999709
llama3_1_8b_compound_interest_an-MIT-Math-professor_2.txt,llama3_1_8b,an-MIT-Math-professor,2,"33,864.00",7331.02
llama3_1_8b_compound_interest_an-MIT-Math-professor_3.txt,llama3_1_8b,an-MIT-Math-professor,3,"26,533.00",0.0200000000004366
llama3_1_8b_compound_interest_an-MIT-Math-professor_4.txt,llama3_1_8b,an-MIT-Math-professor,4,"25,368.15",-1164.83
llama3_1_8b_compound_interest_an-undergraduate-Mathematics-student_0.txt,llama3_1_8b,an-undergraduate-Mathematics-student,0,"32,387.35",5854.37
llama3_1_8b_compound_interest_an-undergraduate-Mathematics-student_1.txt,llama3_1_8b,an-undergraduate-Mathematics-student,1,"66,924.90",40391.92
llama3_1_8b_compound_interest_an-undergraduate-Mathematics-student_2.txt,llama3_1_8b,an-undergraduate-Mathematics-student,2,"26,533.00",0.0200000000004366
llama3_1_8b_compound_interest_an-undergraduate-Mathematics-student_3.txt,llama3_1_8b,an-undergraduate-Mathematics-student,3,"26,533.00",0.0200000000004366
llama3_1_8b_compound_interest_an-undergraduate-Mathematics-student_4.txt,llama3_1_8b,an-undergraduate-Mathematics-student,4,"26,533.00",0.0200000000004366
llama3_1_8b_compound_interest_an-uneducated-person_0.txt,llama3_1_8b,an-uneducated-person,0,"20,000.00",-6532.98
llama3_1_8b_compound_interest_an-uneducated-person_1.txt,llama3_1_8b,an-uneducated-person,1,"11,000.00",-15532.98
llama3_1_8b_compound_interest_an-uneducated-person_2.txt,llama3_1_8b,an-uneducated-person,2,"11,592.74",-14940.24
llama3_1_8b_compound_interest_an-uneducated-person_3.txt,llama3_1_8b,an-uneducated-person,3,"300,000.00",273467.02
llama3_1_8b_compound_interest_an-uneducated-person_4.txt,llama3_1_8b,an-uneducated-person,4,"20,000.00",-6532.98
llama3_1_8b_compound_interest_the-smartest-person-in-the-world_0.txt,llama3_1_8b,the-smartest-person-in-the-world,0,"32,418.11",5885.13
llama3_1_8b_compound_interest_the-smartest-person-in-the-world_1.txt,llama3_1_8b,the-smartest-person-in-the-world,1,"38,611.35",12078.37
llama3_1_8b_compound_interest_the-smartest-person-in-the-world_2.txt,llama3_1_8b,the-smartest-person-in-the-world,2,"53,341.49",26808.51
llama3_1_8b_compound_interest_the-smartest-person-in-the-world_3.txt,llama3_1_8b,the-smartest-person-in-the-world,3,"26,532.98",0
llama3_1_8b_compound_interest_the-smartest-person-in-the-world_4.txt,llama3_1_8b,the-smartest-person-in-the-world,4,"33,860.00",7327.02
qwen3_4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_0.txt,qwen3_4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,0,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_1.txt,qwen3_4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,1,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_2.txt,qwen3_4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,2,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_3.txt,qwen3_4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,3,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_4.txt,qwen3_4b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,4,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-microwave-oven_0.txt,qwen3_4b,a-microwave-oven,0,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-microwave-oven_1.txt,qwen3_4b,a-microwave-oven,1,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-microwave-oven_2.txt,qwen3_4b,a-microwave-oven,2,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-microwave-oven_3.txt,qwen3_4b,a-microwave-oven,3,"26,532.98",0
qwen3_4b_compound_interest_a-microwave-oven_4.txt,qwen3_4b,a-microwave-oven,4,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-person-with-below-average-intelligence_0.txt,qwen3_4b,a-person-with-below-average-intelligence,0,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-person-with-below-average-intelligence_1.txt,qwen3_4b,a-person-with-below-average-intelligence,1,"26,530.00",-2.97999999999956
qwen3_4b_compound_interest_a-person-with-below-average-intelligence_2.txt,qwen3_4b,a-person-with-below-average-intelligence,2,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_a-person-with-below-average-intelligence_3.txt,qwen3_4b,a-person-with-below-average-intelligence,3,"26,530.00",-2.97999999999956
qwen3_4b_compound_interest_a-person-with-below-average-intelligence_4.txt,qwen3_4b,a-person-with-below-average-intelligence,4,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-LLM-assistant_0.txt,qwen3_4b,an-LLM-assistant,0,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-LLM-assistant_1.txt,qwen3_4b,an-LLM-assistant,1,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-LLM-assistant_2.txt,qwen3_4b,an-LLM-assistant,2,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-LLM-assistant_3.txt,qwen3_4b,an-LLM-assistant,3,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-LLM-assistant_4.txt,qwen3_4b,an-LLM-assistant,4,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-MIT-Math-professor_0.txt,qwen3_4b,an-MIT-Math-professor,0,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-MIT-Math-professor_1.txt,qwen3_4b,an-MIT-Math-professor,1,"26,532.98",0
qwen3_4b_compound_interest_an-MIT-Math-professor_2.txt,qwen3_4b,an-MIT-Math-professor,2,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-MIT-Math-professor_3.txt,qwen3_4b,an-MIT-Math-professor,3,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-MIT-Math-professor_4.txt,qwen3_4b,an-MIT-Math-professor,4,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-undergraduate-Mathematics-student_0.txt,qwen3_4b,an-undergraduate-Mathematics-student,0,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-undergraduate-Mathematics-student_1.txt,qwen3_4b,an-undergraduate-Mathematics-student,1,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-undergraduate-Mathematics-student_2.txt,qwen3_4b,an-undergraduate-Mathematics-student,2,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-undergraduate-Mathematics-student_3.txt,qwen3_4b,an-undergraduate-Mathematics-student,3,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-undergraduate-Mathematics-student_4.txt,qwen3_4b,an-undergraduate-Mathematics-student,4,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_an-uneducated-person_0.txt,qwen3_4b,an-uneducated-person,0,"26,500.00",-32.9799999999996
qwen3_4b_compound_interest_an-uneducated-person_1.txt,qwen3_4b,an-uneducated-person,1,"26,500.00",-32.9799999999996
qwen3_4b_compound_interest_an-uneducated-person_2.txt,qwen3_4b,an-uneducated-person,2,"26,530.00",-2.97999999999956
qwen3_4b_compound_interest_an-uneducated-person_3.txt,qwen3_4b,an-uneducated-person,3,"26,530.00",-2.97999999999956
qwen3_4b_compound_interest_an-uneducated-person_4.txt,qwen3_4b,an-uneducated-person,4,"26,530.00",-2.97999999999956
qwen3_4b_compound_interest_the-smartest-person-in-the-world_0.txt,qwen3_4b,the-smartest-person-in-the-world,0,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_the-smartest-person-in-the-world_1.txt,qwen3_4b,the-smartest-person-in-the-world,1,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_the-smartest-person-in-the-world_2.txt,qwen3_4b,the-smartest-person-in-the-world,2,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_the-smartest-person-in-the-world_3.txt,qwen3_4b,the-smartest-person-in-the-world,3,"26,533.00",0.0200000000004366
qwen3_4b_compound_interest_the-smartest-person-in-the-world_4.txt,qwen3_4b,the-smartest-person-in-the-world,4,"26,532.98",0
qwen3_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_0.txt,qwen3_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,0,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_1.txt,qwen3_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,1,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_2.txt,qwen3_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,2,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_3.txt,qwen3_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,3,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-Harvard-English-professor-specializing-in-20th-century-American-Literature_4.txt,qwen3_8b,a-Harvard-English-professor-specializing-in-20th-century-American-Literature,4,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-microwave-oven_0.txt,qwen3_8b,a-microwave-oven,0,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-microwave-oven_1.txt,qwen3_8b,a-microwave-oven,1,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-microwave-oven_2.txt,qwen3_8b,a-microwave-oven,2,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-microwave-oven_3.txt,qwen3_8b,a-microwave-oven,3,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-microwave-oven_4.txt,qwen3_8b,a-microwave-oven,4,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-person-with-below-average-intelligence_0.txt,qwen3_8b,a-person-with-below-average-intelligence,0,"26,531.00",-1.97999999999956
qwen3_8b_compound_interest_a-person-with-below-average-intelligence_1.txt,qwen3_8b,a-person-with-below-average-intelligence,1,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-person-with-below-average-intelligence_2.txt,qwen3_8b,a-person-with-below-average-intelligence,2,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_a-person-with-below-average-intelligence_3.txt,qwen3_8b,a-person-with-below-average-intelligence,3,"26,530.00",-2.97999999999956
qwen3_8b_compound_interest_a-person-with-below-average-intelligence_4.txt,qwen3_8b,a-person-with-below-average-intelligence,4,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-LLM-assistant_0.txt,qwen3_8b,an-LLM-assistant,0,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-LLM-assistant_1.txt,qwen3_8b,an-LLM-assistant,1,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-LLM-assistant_2.txt,qwen3_8b,an-LLM-assistant,2,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-LLM-assistant_3.txt,qwen3_8b,an-LLM-assistant,3,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-LLM-assistant_4.txt,qwen3_8b,an-LLM-assistant,4,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-MIT-Math-professor_0.txt,qwen3_8b,an-MIT-Math-professor,0,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-MIT-Math-professor_1.txt,qwen3_8b,an-MIT-Math-professor,1,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-MIT-Math-professor_2.txt,qwen3_8b,an-MIT-Math-professor,2,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-MIT-Math-professor_3.txt,qwen3_8b,an-MIT-Math-professor,3,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-MIT-Math-professor_4.txt,qwen3_8b,an-MIT-Math-professor,4,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-undergraduate-Mathematics-student_0.txt,qwen3_8b,an-undergraduate-Mathematics-student,0,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-undergraduate-Mathematics-student_1.txt,qwen3_8b,an-undergraduate-Mathematics-student,1,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-undergraduate-Mathematics-student_2.txt,qwen3_8b,an-undergraduate-Mathematics-student,2,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-undergraduate-Mathematics-student_3.txt,qwen3_8b,an-undergraduate-Mathematics-student,3,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-undergraduate-Mathematics-student_4.txt,qwen3_8b,an-undergraduate-Mathematics-student,4,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-uneducated-person_0.txt,qwen3_8b,an-uneducated-person,0,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-uneducated-person_1.txt,qwen3_8b,an-uneducated-person,1,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-uneducated-person_2.txt,qwen3_8b,an-uneducated-person,2,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_an-uneducated-person_3.txt,qwen3_8b,an-uneducated-person,3,"26,500.00",-32.9799999999996
qwen3_8b_compound_interest_an-uneducated-person_4.txt,qwen3_8b,an-uneducated-person,4,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_the-smartest-person-in-the-world_0.txt,qwen3_8b,the-smartest-person-in-the-world,0,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_the-smartest-person-in-the-world_1.txt,qwen3_8b,the-smartest-person-in-the-world,1,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_the-smartest-person-in-the-world_2.txt,qwen3_8b,the-smartest-person-in-the-world,2,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_the-smartest-person-in-the-world_3.txt,qwen3_8b,the-smartest-person-in-the-world,3,"26,533.00",0.0200000000004366
qwen3_8b_compound_interest_the-smartest-person-in-the-world_4.txt,qwen3_8b,the-smartest-person-in-the-world,4,"26,533.00",0.0200000000004366
